2018-09-14 11:31:38,330 - models/simple_chinese_bilstm/log/train.log - INFO - model_type     :	idcnn
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - num_chars      :	6874
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - char_dim       :	100
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - num_tags       :	17
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - seg_dim        :	20
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lstm_dim       :	100
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - batch_size     :	20
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - emb_file       :	./extra_data/sc/w2v_model/zhwiki-embeddings-100.txt
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - clip           :	5
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - dropout_keep   :	0.5
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - optimizer      :	adam
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lr             :	0.001
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - tag_schema     :	iobes
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - pre_emb        :	True
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - zeros          :	False
2018-09-14 11:31:38,331 - models/simple_chinese_bilstm/log/train.log - INFO - lower          :	True
2018-09-14 11:31:39,183 - models/simple_chinese_bilstm/log/train.log - INFO - Created model with fresh parameters.
2018-09-14 11:31:40,784 - models/simple_chinese_bilstm/log/train.log - INFO - Load pre-trained embedding.
2018-09-14 11:31:40,784 - models/simple_chinese_bilstm/log/train.log - INFO - start training
2018-09-14 11:31:46,529 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:100/16782, NER loss:37.093845
2018-09-14 11:31:49,936 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:200/16782, NER loss:27.113426
2018-09-14 11:31:53,277 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:300/16782, NER loss:24.472586
2018-09-14 11:31:55,927 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:400/16782, NER loss:17.971001
2018-09-14 11:31:58,365 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:500/16782, NER loss:15.573037
2018-09-14 11:32:00,714 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:600/16782, NER loss:12.793330
2018-09-14 11:32:03,318 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:700/16782, NER loss:13.967616
2018-09-14 11:32:06,039 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:800/16782, NER loss:14.718805
2018-09-14 11:32:08,327 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:900/16782, NER loss:11.202278
2018-09-14 11:32:10,809 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1000/16782, NER loss:10.978298
2018-09-14 11:32:13,346 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1100/16782, NER loss:11.044938
2018-09-14 11:32:15,826 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1200/16782, NER loss:11.200946
2018-09-14 11:32:18,452 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1300/16782, NER loss:11.526440
2018-09-14 11:32:21,016 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1400/16782, NER loss:10.744549
2018-09-14 11:32:23,469 - models/simple_chinese_bilstm/log/train.log - INFO - iteration:1 step:1500/16782, NER loss: 9.334506
