2018-09-12 09:53:31,400 - models/traditional_chinese_bilstm/log/train.log - INFO - model_type     :	idcnn
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - num_chars      :	7147
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - char_dim       :	100
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - num_tags       :	17
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - seg_dim        :	20
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lstm_dim       :	100
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - batch_size     :	20
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - emb_file       :	./extra_data/sc/w2v_model/zhwiki-embeddings-100.txt
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - clip           :	5
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - dropout_keep   :	0.5
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - optimizer      :	adam
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lr             :	0.001
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - tag_schema     :	iobes
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - pre_emb        :	True
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - zeros          :	False
2018-09-12 09:53:31,401 - models/traditional_chinese_bilstm/log/train.log - INFO - lower          :	True
2018-09-12 09:53:32,192 - models/traditional_chinese_bilstm/log/train.log - INFO - Created model with fresh parameters.
2018-09-12 09:53:33,263 - models/traditional_chinese_bilstm/log/train.log - INFO - Load pre-trained embedding.
2018-09-12 09:53:33,264 - models/traditional_chinese_bilstm/log/train.log - INFO - start training
2018-09-12 09:53:39,452 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:100/16782, NER loss:31.519678
2018-09-12 09:53:43,164 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:200/16782, NER loss:24.420124
2018-09-12 09:53:46,455 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:300/16782, NER loss:22.414696
2018-09-12 09:53:49,398 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:400/16782, NER loss:20.242731
2018-09-12 09:53:52,613 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:500/16782, NER loss:20.962854
2018-09-12 09:53:55,228 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:600/16782, NER loss:16.341511
2018-09-12 09:53:57,843 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:700/16782, NER loss:15.853138
2018-09-12 09:54:00,551 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:800/16782, NER loss:15.306099
2018-09-12 09:54:03,019 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:900/16782, NER loss:13.056657
2018-09-12 09:54:05,599 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1000/16782, NER loss:12.316815
2018-09-12 09:54:08,058 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1100/16782, NER loss:11.771756
2018-09-12 09:54:11,011 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1200/16782, NER loss:14.549988
2018-09-12 09:54:14,038 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1300/16782, NER loss:13.303638
2018-09-12 09:54:16,856 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1400/16782, NER loss:11.245358
2018-09-12 09:54:19,710 - models/traditional_chinese_bilstm/log/train.log - INFO - iteration:1 step:1500/16782, NER loss:11.642769
